model,page,rule,width,gold,answer,bucket,group
Gemini,/,R1,,違反,YES,TP,計測
Gemini,/,R2,375,違反,YES,TP,目視
Gemini,/,R2,1280,違反,YES,TP,目視
Gemini,/,R3,,非違反,NO,TN,計測
Gemini,/,R4,,非違反,NO,TN,目視
Gemini,/,R5,,該当なし,該当なし,除外,目視
Gemini,/,R6,,該当なし,該当なし,除外,計測
Gemini,/,R7,,該当なし,該当なし,除外,計測
Gemini,/,R8,,非違反,該当なし,取り違え,計測
Gemini,/,R9,,該当なし,該当なし,除外,計測
Gemini,/,R10,,該当なし,該当なし,除外,計測
Gemini,/about/,R1,,非違反,NO,TN,計測
Gemini,/about/,R2,375,非違反,NO,TN,目視
Gemini,/about/,R2,1280,違反,NO,FN,目視
Gemini,/about/,R3,,非違反,YES,FP,計測
Gemini,/about/,R4,,非違反,NO,TN,目視
Gemini,/about/,R5,,該当なし,該当なし,除外,目視
Gemini,/about/,R6,,該当なし,該当なし,除外,計測
Gemini,/about/,R7,,該当なし,該当なし,除外,計測
Gemini,/about/,R8,,非違反,不明,不明,計測
Gemini,/about/,R9,,該当なし,該当なし,除外,計測
Gemini,/about/,R10,,違反,YES,TP,計測
Gemini,/lab/,R1,,違反,YES,TP,計測
Gemini,/lab/,R2,375,違反,NO,FN,目視
Gemini,/lab/,R2,1280,違反,NO,FN,目視
Gemini,/lab/,R3,,違反,YES,TP,計測
Gemini,/lab/,R4,,非違反,NO,TN,目視
Gemini,/lab/,R5,,該当なし,該当なし,除外,目視
Gemini,/lab/,R6,,該当なし,該当なし,除外,計測
Gemini,/lab/,R7,,該当なし,該当なし,除外,計測
Gemini,/lab/,R8,,非違反,YES,FP,計測
Gemini,/lab/,R9,,該当なし,該当なし,除外,計測
Gemini,/lab/,R10,,違反,YES,TP,計測
Gemini,/lab/green-is-not-proof/,R1,,非違反,YES,FP,計測
Gemini,/lab/green-is-not-proof/,R2,375,非違反,NO,TN,目視
Gemini,/lab/green-is-not-proof/,R2,1280,非違反,NO,TN,目視
Gemini,/lab/green-is-not-proof/,R3,,非違反,YES,FP,計測
Gemini,/lab/green-is-not-proof/,R4,,違反,YES,TP,目視
Gemini,/lab/green-is-not-proof/,R5,,該当なし,該当なし,除外,目視
Gemini,/lab/green-is-not-proof/,R6,,違反,YES,TP,計測
Gemini,/lab/green-is-not-proof/,R7,,違反,不明,不明,計測
Gemini,/lab/green-is-not-proof/,R8,,非違反,YES,FP,計測
Gemini,/lab/green-is-not-proof/,R9,,該当なし,該当なし,除外,計測
Gemini,/lab/green-is-not-proof/,R10,,違反,YES,TP,計測
Gemini,/works/,R1,,非違反,NO,TN,計測
Gemini,/works/,R2,375,非違反,YES,FP,目視
Gemini,/works/,R2,1280,違反,YES,TP,目視
Gemini,/works/,R3,,非違反,YES,FP,計測
Gemini,/works/,R4,,非違反,NO,TN,目視
Gemini,/works/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/,R8,,非違反,該当なし,取り違え,計測
Gemini,/works/,R9,,違反,該当なし,取り違え,計測
Gemini,/works/,R10,,違反,YES,TP,計測
Gemini,/works/repair/,R1,,非違反,NO,TN,計測
Gemini,/works/repair/,R2,375,非違反,不明,不明,目視
Gemini,/works/repair/,R2,1280,違反,YES,TP,目視
Gemini,/works/repair/,R3,,非違反,NO,TN,計測
Gemini,/works/repair/,R4,,非違反,NO,TN,目視
Gemini,/works/repair/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/repair/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/repair/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/repair/,R8,,非違反,該当なし,取り違え,計測
Gemini,/works/repair/,R9,,違反,該当なし,取り違え,計測
Gemini,/works/repair/,R10,,違反,YES,TP,計測
Gemini,/works/pricing/,R1,,非違反,YES,FP,計測
Gemini,/works/pricing/,R2,375,非違反,YES,FP,目視
Gemini,/works/pricing/,R2,1280,非違反,YES,FP,目視
Gemini,/works/pricing/,R3,,非違反,NO,TN,計測
Gemini,/works/pricing/,R4,,非違反,NO,TN,目視
Gemini,/works/pricing/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/pricing/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/pricing/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/pricing/,R8,,非違反,不明,不明,計測
Gemini,/works/pricing/,R9,,違反,YES,TP,計測
Gemini,/works/pricing/,R10,,違反,不明,不明,計測
Gemini,/works/flow/,R1,,非違反,不明,不明,計測
Gemini,/works/flow/,R2,375,非違反,NO,TN,目視
Gemini,/works/flow/,R2,1280,非違反,NO,TN,目視
Gemini,/works/flow/,R3,,非違反,YES,FP,計測
Gemini,/works/flow/,R4,,非違反,NO,TN,目視
Gemini,/works/flow/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/flow/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/flow/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/flow/,R8,,非違反,該当なし,取り違え,計測
Gemini,/works/flow/,R9,,違反,該当なし,取り違え,計測
Gemini,/works/flow/,R10,,違反,不明,不明,計測
Gemini,/works/contact/,R1,,非違反,不明,不明,計測
Gemini,/works/contact/,R2,375,非違反,NO,TN,目視
Gemini,/works/contact/,R2,1280,非違反,NO,TN,目視
Gemini,/works/contact/,R3,,非違反,YES,FP,計測
Gemini,/works/contact/,R4,,非違反,NO,TN,目視
Gemini,/works/contact/,R5,,違反,YES,TP,目視
Gemini,/works/contact/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/contact/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/contact/,R8,,非違反,YES,FP,計測
Gemini,/works/contact/,R9,,違反,YES,TP,計測
Gemini,/works/contact/,R10,,違反,YES,TP,計測
Gemini,/works/guide/,R1,,非違反,NO,TN,計測
Gemini,/works/guide/,R2,375,非違反,NO,TN,目視
Gemini,/works/guide/,R2,1280,違反,NO,FN,目視
Gemini,/works/guide/,R3,,非違反,NO,TN,計測
Gemini,/works/guide/,R4,,非違反,NO,TN,目視
Gemini,/works/guide/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/guide/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/guide/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/guide/,R8,,非違反,YES,FP,計測
Gemini,/works/guide/,R9,,違反,YES,TP,計測
Gemini,/works/guide/,R10,,違反,YES,TP,計測
Gemini,/works/guide/outsourced-unfinished/,R1,,非違反,NO,TN,計測
Gemini,/works/guide/outsourced-unfinished/,R2,375,非違反,NO,TN,目視
Gemini,/works/guide/outsourced-unfinished/,R2,1280,非違反,NO,TN,目視
Gemini,/works/guide/outsourced-unfinished/,R3,,違反,YES,TP,計測
Gemini,/works/guide/outsourced-unfinished/,R4,,非違反,NO,TN,目視
Gemini,/works/guide/outsourced-unfinished/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/guide/outsourced-unfinished/,R6,,該当なし,該当なし,除外,計測
Gemini,/works/guide/outsourced-unfinished/,R7,,該当なし,該当なし,除外,計測
Gemini,/works/guide/outsourced-unfinished/,R8,,非違反,該当なし,取り違え,計測
Gemini,/works/guide/outsourced-unfinished/,R9,,違反,該当なし,取り違え,計測
Gemini,/works/guide/outsourced-unfinished/,R10,,違反,YES,TP,計測
Gemini,/works/cases/integrity-warning/,R1,,違反,NO,FN,計測
Gemini,/works/cases/integrity-warning/,R2,375,非違反,NO,TN,目視
Gemini,/works/cases/integrity-warning/,R2,1280,非違反,NO,TN,目視
Gemini,/works/cases/integrity-warning/,R3,,非違反,YES,FP,計測
Gemini,/works/cases/integrity-warning/,R4,,非違反,NO,TN,目視
Gemini,/works/cases/integrity-warning/,R5,,該当なし,該当なし,除外,目視
Gemini,/works/cases/integrity-warning/,R6,,違反,YES,TP,計測
Gemini,/works/cases/integrity-warning/,R7,,違反,不明,不明,計測
Gemini,/works/cases/integrity-warning/,R8,,非違反,YES,FP,計測
Gemini,/works/cases/integrity-warning/,R9,,違反,該当なし,取り違え,計測
Gemini,/works/cases/integrity-warning/,R10,,違反,YES,TP,計測
