model,page,rule,width,gold,answer,bucket,group
GPT,/,R1,,違反,NO,FN,計測
GPT,/,R2,375,違反,YES,TP,目視
GPT,/,R2,1280,違反,YES,TP,目視
GPT,/,R3,,非違反,NO,TN,計測
GPT,/,R4,,非違反,NO,TN,目視
GPT,/,R5,,該当なし,該当なし,除外,目視
GPT,/,R6,,該当なし,該当なし,除外,計測
GPT,/,R7,,該当なし,該当なし,除外,計測
GPT,/,R8,,非違反,NO,TN,計測
GPT,/,R9,,該当なし,該当なし,除外,計測
GPT,/,R10,,該当なし,該当なし,除外,計測
GPT,/about/,R1,,非違反,NO,TN,計測
GPT,/about/,R2,375,非違反,NO,TN,目視
GPT,/about/,R2,1280,違反,YES,TP,目視
GPT,/about/,R3,,非違反,NO,TN,計測
GPT,/about/,R4,,非違反,NO,TN,目視
GPT,/about/,R5,,該当なし,該当なし,除外,目視
GPT,/about/,R6,,該当なし,該当なし,除外,計測
GPT,/about/,R7,,該当なし,該当なし,除外,計測
GPT,/about/,R8,,非違反,NO,TN,計測
GPT,/about/,R9,,該当なし,該当なし,除外,計測
GPT,/about/,R10,,違反,YES,TP,計測
GPT,/lab/,R1,,違反,NO,FN,計測
GPT,/lab/,R2,375,違反,YES,TP,目視
GPT,/lab/,R2,1280,違反,YES,TP,目視
GPT,/lab/,R3,,違反,YES,TP,計測
GPT,/lab/,R4,,非違反,NO,TN,目視
GPT,/lab/,R5,,該当なし,該当なし,除外,目視
GPT,/lab/,R6,,該当なし,該当なし,除外,計測
GPT,/lab/,R7,,該当なし,該当なし,除外,計測
GPT,/lab/,R8,,非違反,NO,TN,計測
GPT,/lab/,R9,,該当なし,該当なし,除外,計測
GPT,/lab/,R10,,違反,YES,TP,計測
GPT,/lab/green-is-not-proof/,R1,,非違反,YES,FP,計測
GPT,/lab/green-is-not-proof/,R2,375,非違反,NO,TN,目視
GPT,/lab/green-is-not-proof/,R2,1280,非違反,NO,TN,目視
GPT,/lab/green-is-not-proof/,R3,,非違反,NO,TN,計測
GPT,/lab/green-is-not-proof/,R4,,違反,YES,TP,目視
GPT,/lab/green-is-not-proof/,R5,,該当なし,該当なし,除外,目視
GPT,/lab/green-is-not-proof/,R6,,違反,YES,TP,計測
GPT,/lab/green-is-not-proof/,R7,,違反,YES,TP,計測
GPT,/lab/green-is-not-proof/,R8,,非違反,NO,TN,計測
GPT,/lab/green-is-not-proof/,R9,,該当なし,該当なし,除外,計測
GPT,/lab/green-is-not-proof/,R10,,違反,YES,TP,計測
GPT,/works/,R1,,非違反,NO,TN,計測
GPT,/works/,R2,375,非違反,NO,TN,目視
GPT,/works/,R2,1280,違反,YES,TP,目視
GPT,/works/,R3,,非違反,NO,TN,計測
GPT,/works/,R4,,非違反,NO,TN,目視
GPT,/works/,R5,,該当なし,該当なし,除外,目視
GPT,/works/,R6,,該当なし,該当なし,除外,計測
GPT,/works/,R7,,該当なし,該当なし,除外,計測
GPT,/works/,R8,,非違反,NO,TN,計測
GPT,/works/,R9,,違反,YES,TP,計測
GPT,/works/,R10,,違反,YES,TP,計測
GPT,/works/repair/,R1,,非違反,NO,TN,計測
GPT,/works/repair/,R2,375,非違反,NO,TN,目視
GPT,/works/repair/,R2,1280,違反,YES,TP,目視
GPT,/works/repair/,R3,,非違反,NO,TN,計測
GPT,/works/repair/,R4,,非違反,NO,TN,目視
GPT,/works/repair/,R5,,該当なし,該当なし,除外,目視
GPT,/works/repair/,R6,,該当なし,該当なし,除外,計測
GPT,/works/repair/,R7,,該当なし,該当なし,除外,計測
GPT,/works/repair/,R8,,非違反,NO,TN,計測
GPT,/works/repair/,R9,,違反,YES,TP,計測
GPT,/works/repair/,R10,,違反,YES,TP,計測
GPT,/works/pricing/,R1,,非違反,NO,TN,計測
GPT,/works/pricing/,R2,375,非違反,NO,TN,目視
GPT,/works/pricing/,R2,1280,非違反,NO,TN,目視
GPT,/works/pricing/,R3,,非違反,NO,TN,計測
GPT,/works/pricing/,R4,,非違反,NO,TN,目視
GPT,/works/pricing/,R5,,該当なし,該当なし,除外,目視
GPT,/works/pricing/,R6,,該当なし,該当なし,除外,計測
GPT,/works/pricing/,R7,,該当なし,該当なし,除外,計測
GPT,/works/pricing/,R8,,非違反,NO,TN,計測
GPT,/works/pricing/,R9,,違反,YES,TP,計測
GPT,/works/pricing/,R10,,違反,YES,TP,計測
GPT,/works/flow/,R1,,非違反,NO,TN,計測
GPT,/works/flow/,R2,375,非違反,NO,TN,目視
GPT,/works/flow/,R2,1280,非違反,NO,TN,目視
GPT,/works/flow/,R3,,非違反,NO,TN,計測
GPT,/works/flow/,R4,,非違反,NO,TN,目視
GPT,/works/flow/,R5,,該当なし,該当なし,除外,目視
GPT,/works/flow/,R6,,該当なし,該当なし,除外,計測
GPT,/works/flow/,R7,,該当なし,該当なし,除外,計測
GPT,/works/flow/,R8,,非違反,NO,TN,計測
GPT,/works/flow/,R9,,違反,YES,TP,計測
GPT,/works/flow/,R10,,違反,YES,TP,計測
GPT,/works/contact/,R1,,非違反,NO,TN,計測
GPT,/works/contact/,R2,375,非違反,NO,TN,目視
GPT,/works/contact/,R2,1280,非違反,NO,TN,目視
GPT,/works/contact/,R3,,非違反,NO,TN,計測
GPT,/works/contact/,R4,,非違反,NO,TN,目視
GPT,/works/contact/,R5,,違反,YES,TP,目視
GPT,/works/contact/,R6,,該当なし,該当なし,除外,計測
